Date,Manhattan price per sqft,Brooklyn price per sqft,Bronx price per sqft,Queens price per sqft,Staten Island price per sqft
1996-04,276.6818181818182,132.02439024390245,114.0,128.59322033898306,116.14583333333333
1996-05,277.8636363636364,132.0487804878049,114.0,128.77966101694915,115.8125
1996-06,279.0,131.90243902439025,113.72222222222223,129.05084745762713,115.5625
1996-07,279.8636363636364,131.85365853658536,113.72222222222223,129.28813559322035,115.22916666666667
1996-08,280.8181818181818,132.0,113.38888888888889,129.74576271186442,114.89583333333333
1996-09,282.0,132.09756097560975,112.94444444444444,130.135593220339,114.70833333333333
1996-10,283.1363636363636,132.390243902439,112.66666666666667,130.40677966101694,114.47916666666667
1996-11,284.40909090909093,132.70731707317074,112.38888888888889,131.0,114.39583333333333
1996-12,285.95454545454544,133.29268292682926,112.27777777777777,131.5593220338983,114.3125
1997-01,288.04545454545456,133.82926829268294,112.22222222222223,132.01694915254237,114.66666666666667
1997-02,289.6818181818182,134.17073170731706,112.61111111111111,132.1864406779661,114.875
1997-03,291.04545454545456,134.46341463414635,112.61111111111111,132.135593220339,114.9375
1997-04,292.27272727272725,134.609756097561,112.94444444444444,132.11864406779662,114.85416666666667
1997-05,293.72727272727275,134.85365853658536,112.88888888888889,132.5084745762712,114.91666666666667
1997-06,295.04545454545456,135.0487804878049,113.11111111111111,133.10169491525423,115.0625
1997-07,296.22727272727275,135.1951219512195,113.27777777777777,133.6949152542373,115.1875
1997-08,297.6363636363636,135.65853658536585,113.22222222222223,134.35593220338984,115.27083333333333
1997-09,299.3636363636364,136.17073170731706,113.0,134.9322033898305,115.45833333333333
1997-10,301.1363636363636,136.8780487804878,112.94444444444444,135.57627118644066,115.85416666666667
1997-11,303.40909090909093,137.70731707317074,112.88888888888889,136.5593220338983,116.08333333333333
1997-12,306.1363636363636,138.78048780487805,113.44444444444444,137.52542372881356,116.60416666666667
1998-01,309.3181818181818,139.9512195121951,113.77777777777777,138.25423728813558,117.125
1998-02,312.1818181818182,140.8048780487805,114.33333333333333,138.88135593220338,117.70833333333333
1998-03,314.90909090909093,141.73170731707316,114.61111111111111,139.28813559322035,118.22916666666667
1998-04,317.77272727272725,142.5609756097561,115.0,139.74576271186442,118.72916666666667
1998-05,320.5,143.4390243902439,115.5,140.5084745762712,119.33333333333333
1998-06,323.54545454545456,144.09756097560975,116.05555555555556,141.47457627118644,119.83333333333333
1998-07,326.45454545454544,145.09756097560975,116.27777777777777,142.45762711864407,120.41666666666667
1998-08,329.59090909090907,146.17073170731706,116.61111111111111,143.54237288135593,120.95833333333333
1998-09,333.04545454545456,147.3170731707317,116.88888888888889,144.67796610169492,121.54166666666667
1998-10,336.72727272727275,148.5121951219512,117.38888888888889,145.72881355932202,122.35416666666667
1998-11,340.5,149.90243902439025,117.77777777777777,147.27118644067798,123.08333333333333
1998-12,345.1363636363636,151.78048780487805,118.44444444444444,148.66101694915255,124.04166666666667
1999-01,350.1363636363636,153.46341463414635,119.27777777777777,150.05084745762713,125.08333333333333
1999-02,355.04545454545456,155.0731707317073,120.22222222222223,151.0677966101695,126.3125
1999-03,359.72727272727275,156.390243902439,121.16666666666667,151.91525423728814,127.3125
1999-04,364.6363636363636,157.70731707317074,122.05555555555556,153.03389830508473,128.29166666666666
1999-05,369.54545454545456,159.0731707317073,123.05555555555556,154.54237288135593,129.3125
1999-06,374.6818181818182,160.4878048780488,123.83333333333333,156.01694915254237,130.47916666666666
1999-07,379.90909090909093,161.90243902439025,124.72222222222223,157.91525423728814,131.625
1999-08,385.22727272727275,163.4878048780488,125.44444444444444,159.83050847457628,132.70833333333334
1999-09,391.0,165.02439024390245,126.05555555555556,161.71186440677965,133.97916666666666
1999-10,396.8636363636364,166.97560975609755,126.88888888888889,163.57627118644066,135.4375
1999-11,403.1363636363636,169.0,127.72222222222223,165.64406779661016,136.70833333333334
1999-12,410.09090909090907,171.3658536585366,128.83333333333334,167.864406779661,138.33333333333334
2000-01,417.3181818181818,173.82926829268294,129.94444444444446,169.74576271186442,140.0
2000-02,424.3636363636364,175.97560975609755,131.33333333333334,171.3728813559322,141.6875
2000-03,431.27272727272725,178.02439024390245,132.55555555555554,172.66101694915255,143.27083333333334
2000-04,438.1363636363636,179.8780487804878,134.11111111111111,174.0677966101695,144.9375
2000-05,444.8181818181818,181.8048780487805,135.38888888888889,175.96610169491527,146.64583333333334
2000-06,451.1363636363636,183.58536585365854,136.61111111111111,177.74576271186442,148.375
2000-07,457.59090909090907,185.5121951219512,137.83333333333334,179.57627118644066,150.0
2000-08,463.8181818181818,187.6341463414634,138.83333333333334,181.72881355932202,151.625
2000-09,470.27272727272725,189.8048780487805,139.88888888888889,183.57627118644066,153.29166666666666
2000-10,476.54545454545456,192.3170731707317,140.88888888888889,185.45762711864407,154.91666666666666
2000-11,482.95454545454544,194.82926829268294,142.11111111111111,187.6271186440678,156.72916666666666
2000-12,489.6818181818182,197.78048780487805,143.66666666666666,189.74576271186442,158.60416666666666
2001-01,496.09090909090907,200.609756097561,145.11111111111111,191.6271186440678,160.375
2001-02,502.6363636363636,203.1951219512195,146.77777777777777,192.94915254237287,162.25
2001-03,508.59090909090907,205.609756097561,148.44444444444446,194.01694915254237,163.91666666666666
2001-04,514.3181818181819,207.73170731707316,150.33333333333334,195.3728813559322,165.8125
